Date,Bullish,Neutral,Bearish,Total,Bullish 8-week Mov Avg,Bull-Bear Spread,Bullish Average,Bullish Average +St. Dev.,Bullish Average -St. Dev.,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
3-31-94,0.23,0.33,0.44,1,0.3325,-0.21,0.375,0.476,0.274,465.29,436.16,445.77
4-7-94,0.28,0.31,0.41,1,0.3063,-0.13,0.375,0.476,0.274,451.1,435.86,447.1
4-14-94,0.29,0.23,0.48,1,0.2925,-0.19,0.375,0.476,0.274,450.89,442.62,446.18
4-21-94,0.26,0.41,0.33,1,0.2738,-0.07,0.375,0.476,0.274,449.96,438.83,447.63
4-28-94,0.27,0.35,0.38,1,0.2688,-0.11,0.375,0.476,0.274,452.79,447.58,450.91
5-5-94,0.32,0.32,0.36,1,0.2725,-0.04,0.375,0.476,0.274,453.98,445.64,447.82
5-12-94,0.38,0.32,0.3,1,0.29,0.08,0.375,0.476,0.274,447.82,440.78,444.14
5-19-94,0.22,0.36,0.42,1,0.2813,-0.2,0.375,0.476,0.274,456.88,443.62,454.92
5-26-94,0.29,0.33,0.38,1,0.2888,-0.09,0.375,0.476,0.274,457.77,451.79,457.33
6-2-94,0.39,0.36,0.25,1,0.3025,0.14,0.375,0.476,0.274,460.86,453.99,460.13
6-9-94,0.28,0.47,0.25,1,0.3013,0.03,0.375,0.476,0.274,461.87,455.43,458.67
6-16-94,0.32,0.42,0.26,1,0.3088,0.06,0.375,0.476,0.274,463.23,457.18,458.45
6-23-94,0.29,0.45,0.26,1,0.3113,0.03,0.375,0.476,0.274,458.45,442.51,442.8
6-30-94,0.32,0.37,0.31,1,0.3113,0.01,0.375,0.476,0.274,449.83,439.83,446.2
7-7-94,0.28,0.32,0.4,1,0.2988,-0.12,0.375,0.476,0.274,449.75,444.18,449.55
7-14-94,0.25,0.4,0.35,1,0.3025,-0.1,0.375,0.476,0.274,454.33,444.65,454.16
7-21-94,0.34,0.38,0.28,1,0.3088,0.06,0.375,0.476,0.274,455.71,450.69,453.11
7-28-94,0.27,0.42,0.31,1,0.2938,-0.04,0.375,0.476,0.274,459.33,451.36,458.26
8-4-94,0.22,0.52,0.26,1,0.2863,-0.04,0.375,0.476,0.274,462.77,456.08,457.09
8-11-94,0.34,0.37,0.29,1,0.2888,0.05,0.375,0.476,0.274,462.27,456.66,461.94
8-18-94,0.3,0.4,0.3,1,0.29,0,0.375,0.476,0.274,465.91,459.89,463.68
8-25-94,0.32,0.39,0.29,1,0.29,0.03,0.375,0.476,0.274,474.65,461.46,473.8
9-1-94,0.43,0.34,0.23,1,0.3088,0.2,0.375,0.476,0.274,477.59,470.67,470.99
9-8-94,0.47,0.33,0.2,1,0.3363,0.27,0.375,0.476,0.274,473.4,466.55,468.18
9-15-94,0.45,0.25,0.3,1,0.35,0.15,0.375,0.476,0.274,474.81,466.15,471.19
9-22-94,0.37,0.36,0.27,1,0.3625,0.1,0.375,0.476,0.274,473.15,458.47,459.67
9-29-94,0.38,0.32,0.3,1,0.3825,0.08,0.375,0.476,0.274,464.84,459.01,462.69
10-6-94,0.33,0.39,0.28,1,0.3813,0.05,0.375,0.476,0.274,463.31,449.27,455.1
10-13-94,0.35,0.39,0.26,1,0.3875,0.09,0.375,0.476,0.274,471.3,455.1,469.1
10-20-94,0.39,0.33,0.28,1,0.3963,0.11,0.375,0.476,0.274,471.43,463.83,464.89
10-27-94,0.43,0.38,0.19,1,0.3963,0.24,0.375,0.476,0.274,473.78,458.26,473.77
11-3-94,0.4,0.35,0.25,1,0.3875,0.15,0.375,0.476,0.274,474.74,462.28,462.28
11-10-94,0.37,0.31,0.32,1,0.3775,0.05,0.375,0.476,0.274,469.95,461.25,462.35
11-17-94,0.39,0.22,0.39,1,0.38,0,0.375,0.476,0.274,468.51,460.25,461.47
11-23-94,0.39,0.32,0.29,1,0.3813,0.1,0.375,0.476,0.274,466.25,444.18,449.93
11-30-94,0.44,0.3,0.26,1,0.395,0.18,0.375,0.476,0.274,457.13,447.97,453.3
12-8-94,0.3,0.35,0.35,1,0.3888,-0.05,0.375,0.476,0.274,455.04,442.88,446.96
12-15-94,0.33,0.35,0.32,1,0.3813,0.01,0.375,0.476,0.274,458.8,445.62,458.8
12-22-94,0.42,0.25,0.33,1,0.38,0.09,0.375,0.476,0.274,461.7,455.34,459.67
12-29-94,0.4,0.43,0.17,1,0.38,0.23,0.375,0.476,0.274,462.73,459,459.27
1-5-95,0.44,0.31,0.25,1,0.3888,0.19,0.375,0.476,0.274,462.49,457.2,460.68
1-12-95,0.36,0.42,0.22,1,0.385,0.14,0.375,0.476,0.274,466.43,459.74,465.97
1-19-95,0.37,0.39,0.24,1,0.3825,0.13,0.375,0.476,0.274,470.43,463.99,464.78
1-26-95,0.38,0.37,0.25,1,0.375,0.13,0.375,0.476,0.274,471.36,464.4,470.39
2-2-95,0.38,0.37,0.25,1,0.385,0.13,0.375,0.476,0.274,479.91,467.49,478.64
2-9-95,0.34,0.43,0.23,1,0.3863,0.11,0.375,0.476,0.274,482.6,478.36,481.46
2-16-95,0.43,0.37,0.2,1,0.3875,0.23,0.375,0.476,0.274,485.54,480.89,481.97
2-23-95,0.46,0.37,0.17,1,0.395,0.29,0.375,0.476,0.274,489.19,481.97,488.11
3-2-95,0.53,0.26,0.21,1,0.4063,0.32,0.375,0.476,0.274,488.11,483.07,485.42
3-9-95,0.48,0.34,0.18,1,0.4213,0.3,0.375,0.476,0.274,490.37,479.7,489.57
3-16-95,0.39,0.41,0.2,1,0.4238,0.19,0.375,0.476,0.274,496.67,489.35,495.52
3-23-95,0.47,0.3,0.23,1,0.435,0.24,0.375,0.476,0.274,500.97,493.67,500.97
3-30-95,0.52,0.23,0.25,1,0.4525,0.27,0.375,0.476,0.274,508.15,495.7,500.71
4-6-95,0.42,0.25,0.33,1,0.4625,0.09,0.375,0.476,0.274,507.19,500.2,506.42
4-13-95,0.4,0.23,0.37,1,0.4588,0.03,0.375,0.476,0.274,509.83,503.59,509.23
4-20-95,0.37,0.27,0.36,1,0.4475,0.01,0.375,0.476,0.274,508.49,501.19,508.49
4-27-95,0.52,0.29,0.19,1,0.4463,0.33,0.375,0.476,0.274,515.29,507.44,514.71
5-4-95,0.42,0.27,0.31,1,0.4388,0.11,0.375,0.476,0.274,525.4,513.03,520.12
5-11-95,0.44,0.26,0.3,1,0.445,0.14,0.375,0.476,0.274,527.05,519.14,525.55
5-18-95,0.42,0.23,0.35,1,0.4388,0.07,0.375,0.476,0.274,529.08,517.07,519.19
5-25-95,0.44,0.26,0.3,1,0.4288,0.14,0.375,0.476,0.274,531.91,519.19,523.65
6-1-95,0.39,0.34,0.27,1,0.425,0.12,0.375,0.476,0.274,536.91,521.38,532.51
6-8-95,0.44,0.25,0.31,1,0.43,0.13,0.375,0.476,0.274,537.73,526,527.94
6-15-95,0.36,0.31,0.33,1,0.4288,0.03,0.375,0.476,0.274,539.98,527.94,539.83
6-22-95,0.48,0.21,0.31,1,0.4238,0.17,0.375,0.476,0.274,551.07,539.83,549.71
6-29-95,0.35,0.28,0.37,1,0.415,-0.02,0.375,0.476,0.274,549.79,540.79,544.75
7-6-95,0.35,0.34,0.31,1,0.4038,0.04,0.375,0.476,0.274,556.37,544.43,556.37
7-13-95,0.44,0.18,0.38,1,0.4063,0.06,0.375,0.476,0.274,562,553.8,559.89
7-20-95,0.43,0.3,0.27,1,0.405,0.16,0.375,0.476,0.274,562.72,550.98,553.62
7-27-95,0.41,0.26,0.33,1,0.4075,0.08,0.375,0.476,0.274,565.4,553.62,562.93
8-3-95,0.38,0.34,0.28,1,0.4,0.1,0.375,0.476,0.274,565.62,554.1,558.94
8-10-95,0.4,0.3,0.3,1,0.405,0.1,0.375,0.476,0.274,561.59,553.04,555.11
8-17-95,0.36,0.43,0.21,1,0.39,0.15,0.375,0.476,0.274,561.24,554.76,559.21
8-24-95,0.35,0.28,0.37,1,0.39,-0.02,0.375,0.476,0.274,563.34,555.2,560.1
8-31-95,0.38,0.42,0.2,1,0.3938,0.18,0.375,0.476,0.274,564.62,555.71,563.84
9-7-95,0.37,0.36,0.27,1,0.385,0.1,0.375,0.476,0.274,572.68,563.84,572.68
9-14-95,0.46,0.32,0.22,1,0.3888,0.24,0.375,0.476,0.274,585.07,572.68,583.35
9-21-95,0.46,0.25,0.29,1,0.395,0.17,0.375,0.476,0.274,586.79,578.25,581.73
9-28-95,0.42,0.27,0.31,1,0.4,0.11,0.375,0.476,0.274,587.61,574.68,584.41
10-5-95,0.39,0.37,0.24,1,0.3988,0.15,0.375,0.476,0.274,585.05,578.48,582.49
10-12-95,0.41,0.3,0.29,1,0.405,0.12,0.375,0.476,0.274,587.39,571.55,584.5
10-19-95,0.47,0.32,0.21,1,0.42,0.26,0.375,0.476,0.274,590.66,581.9,587.46
10-26-95,0.46,0.33,0.21,1,0.43,0.25,0.375,0.476,0.274,587.46,572.53,579.7
11-2-95,0.47,0.34,0.19,1,0.4425,0.28,0.375,0.476,0.274,590.57,579.7,590.57
11-9-95,0.49,0.35,0.16,1,0.4463,0.33,0.375,0.476,0.274,593.9,584.24,592.72
11-16-95,0.46,0.31,0.23,1,0.4463,0.23,0.375,0.476,0.274,600.14,588.36,600.07
11-22-95,0.48,0.18,0.34,1,0.4538,0.14,0.375,0.476,0.274,600.71,595.42,598.4
11-30-95,0.51,0.3,0.19,1,0.4688,0.32,0.375,0.476,0.274,608.69,599.02,606.98
12-7-95,0.48,0.28,0.24,1,0.4775,0.24,0.375,0.476,0.274,621.11,606.85,617.48
12-14-95,0.51,0.23,0.26,1,0.4825,0.25,0.375,0.476,0.274,621.69,616.34,616.34
